Model,Accuracy,BalancedAccuracy,Precision,Recall,F1,ROC-AUC,LogLoss,Fold,ValidationYear,Neighbors,Weights
kNN k=31 distance,0.6424361493123772,0.6421839642684216,0.6507666098807495,0.6044303797468354,0.6267432321575062,0.701151320665224,0.6255892635538517,4,2022,31,distance
kNN k=51 distance,0.6239487384861834,0.6237773010094685,0.6251046025104603,0.6033925686591276,0.6140567200986436,0.6733701517089876,0.6420961725916021,1,2019,51,distance
kNN k=51 distance,0.6303818034118602,0.6311778327623399,0.6543624161073825,0.6103286384976526,0.631578947368421,0.6833153576111323,0.6370039931595529,2,2020,51,distance
kNN k=51 distance,0.6211490424646128,0.6203762663209492,0.6062992125984252,0.601040763226366,0.6036585365853658,0.6729748065581694,0.6423904942591585,3,2021,51,distance
kNN k=51 distance,0.649901768172888,0.6495842967815888,0.6623150565709313,0.6020569620253164,0.6307501036054703,0.7074649947133864,0.6223930807954894,4,2022,51,distance
kNN k=75 distance,0.6211453744493393,0.6209164772924123,0.6239388794567062,0.5936995153473344,0.6084437086092715,0.6750177398016992,0.6407096616274278,1,2019,75,distance
kNN k=75 distance,0.6263200649878148,0.6267063718648226,0.6469622331691297,0.6165884194053208,0.6314102564102564,0.692935012477266,0.6311041594509459,2,2020,75,distance
kNN k=75 distance,0.6232306411323897,0.6225111919544308,0.6082024432809773,0.6045099739809193,0.6063505872118312,0.6792202191935682,0.6375731292861742,3,2021,75,distance
kNN k=75 distance,0.6518664047151277,0.6515516457672507,0.6643478260869565,0.6044303797468354,0.6329743164871583,0.7149588928744355,0.6192712831997119,4,2022,75,distance
kNN k=101 distance,0.6235482579094914,0.6233464772539172,0.6256323777403036,0.5993537964458805,0.6122112211221122,0.675948678400813,0.6400855017758579,1,2019,101,distance
kNN k=101 distance,0.6295694557270511,0.6303953601488812,0.653781512605042,0.6087636932707355,0.6304700162074555,0.6953062217146724,0.6294418177627548,2,2020,101,distance
kNN k=101 distance,0.6153205661948377,0.6145717962053945,0.6,0.5958369470945359,0.597911227154047,0.6781112661161018,0.6376494376839643,3,2021,101,distance
kNN k=101 distance,0.6581532416502947,0.6577757685352622,0.6749555950266429,0.6012658227848101,0.6359832635983264,0.7197724285813101,0.6188810659246108,4,2022,101,distance
kNN k=151 distance,0.6291549859831799,0.6289333920168967,0.6322033898305085,0.6025848142164781,0.6170388751033913,0.678663862516216,0.6387542555742681,1,2019,151,distance
kNN k=151 distance,0.6271324126726239,0.6280479423085057,0.652027027027027,0.6040688575899843,0.6271324126726239,0.6926151503616292,0.6312301011221724,2,2020,151,distance
kNN k=151 distance,0.6232306411323897,0.6228778339236871,0.6061643835616438,0.614050303555941,0.6100818612666954,0.6821082190991302,0.6364221800883617,3,2021,151,distance
kNN k=151 distance,0.6612966601178782,0.6609298263816836,0.6778761061946903,0.6060126582278481,0.6399331662489557,0.7220254152709019,0.6194037146805766,4,2022,151,distance
