Model,Accuracy,BalancedAccuracy,Precision,Recall,F1,ROC-AUC,LogLoss,Fold,ValidationYear,NumLeaves,NEstimators,LearningRate
LightGBM leaves 7 est 200 lr 0.10,0.6373855120732723,0.6368220335157979,0.6221837088388215,0.6227233304423244,0.622453402687473,0.6977661921384462,0.6273982296859768,3,2021,7,200,0.1
LightGBM leaves 7 est 200 lr 0.10,0.64950884086444,0.6492779696439688,0.6573604060913706,0.6147151898734177,0.6353229762878169,0.7115627377740886,0.6170900731339584,4,2022,7,200,0.1
LightGBM leaves 15 est 100 lr 0.05,0.6275530636764117,0.6272707266967014,0.6325301204819277,0.5936995153473344,0.6125,0.6894527415532239,0.6328923889300614,1,2019,15,100,0.05
LightGBM leaves 15 est 100 lr 0.05,0.6425670186839968,0.6444058495114833,0.6767317939609236,0.596244131455399,0.6339434276206323,0.7135198578860551,0.6179618135452564,2,2020,15,100,0.05
LightGBM leaves 15 est 100 lr 0.05,0.6390507910074937,0.6381233347475899,0.6263250883392226,0.6149176062445794,0.6205689277899343,0.6947247303480251,0.6285827607915492,3,2021,15,100,0.05
LightGBM leaves 15 est 100 lr 0.05,0.6526522593320235,0.6523165372187472,0.6663747810858144,0.6020569620253164,0.6325852036575229,0.7179622575321891,0.6144438112163326,4,2022,15,100,0.05
LightGBM leaves 15 est 200 lr 0.05,0.6227472967561073,0.6225589327119376,0.6243697478991597,0.6001615508885298,0.6120263591433278,0.6811134307942427,0.6409894257676341,1,2019,15,200,0.05
LightGBM leaves 15 est 200 lr 0.05,0.6539398862713242,0.6551741001564946,0.6826758147512865,0.622848200312989,0.6513911620294599,0.7133163092670135,0.6188795360780606,2,2020,15,200,0.05
LightGBM leaves 15 est 200 lr 0.05,0.6423813488759367,0.641892525295171,0.6269430051813472,0.629661751951431,0.6282994374729555,0.6922735065762932,0.6316040739121351,3,2021,15,200,0.05
LightGBM leaves 15 est 200 lr 0.05,0.6514734774066797,0.6511508265891955,0.6643417611159547,0.6028481012658228,0.6321028618830361,0.7119962894890266,0.6176598935717387,4,2022,15,200,0.05
LightGBM leaves 15 est 100 lr 0.10,0.6259511413696436,0.6258438435509887,0.6252059308072487,0.6130856219709209,0.6190864600326265,0.6832236010578439,0.6403064753805393,1,2019,15,100,0.1
LightGBM leaves 15 est 100 lr 0.10,0.652315190901706,0.6539818868163938,0.6854130052724078,0.6103286384976526,0.6456953642384106,0.7133374571754854,0.6200467045516582,2,2020,15,100,0.1
LightGBM leaves 15 est 100 lr 0.10,0.6315570358034971,0.6314175364576136,0.6135593220338983,0.6279271465741544,0.6206600942991856,0.6912624635701624,0.6322003596669564,3,2021,15,100,0.1
LightGBM leaves 15 est 100 lr 0.10,0.6542239685658153,0.6539355626043736,0.6655172413793103,0.6107594936708861,0.636963696369637,0.7124144013280763,0.6174801686775323,4,2022,15,100,0.1
LightGBM leaves 15 est 200 lr 0.10,0.6199439327192631,0.6198261050324577,0.6193228736581338,0.6058158319870759,0.6124948958758677,0.6703213438364936,0.6590749135459218,1,2019,15,200,0.1
LightGBM leaves 15 est 200 lr 0.10,0.6506904955320877,0.6516093558347079,0.6762225969645869,0.6275430359937402,0.650974025974026,0.704368100494861,0.6292124901928746,2,2020,15,200,0.1
LightGBM leaves 15 est 200 lr 0.10,0.6265611990008326,0.6263803757663546,0.6086587436332768,0.6218560277536861,0.6151866151866152,0.6836678362638072,0.6410169845204982,3,2021,15,200,0.1
LightGBM leaves 15 est 200 lr 0.10,0.6483300589390962,0.6480702625520015,0.6575576430401366,0.6091772151898734,0.6324435318275154,0.707337152541033,0.6237951876085579,4,2022,15,200,0.1
