Model,Accuracy,BalancedAccuracy,Precision,Recall,F1,ROC-AUC,LogLoss,Fold,ValidationYear,MaxDepth,NEstimators,LearningRate
XGBoost depth 2 est 200 lr 0.10,0.6271324126726239,0.6287312841010024,0.6578947368421053,0.5868544600938967,0.6203473945409429,0.707521782345726,0.6216005682945251,2,2020,2,200,0.1
XGBoost depth 2 est 200 lr 0.10,0.6398834304746045,0.6391572928767992,0.6258741258741258,0.6209887250650477,0.6234218545929473,0.7018874423042336,0.6239069104194641,3,2021,2,200,0.1
XGBoost depth 2 est 200 lr 0.10,0.6597249508840864,0.6594157921520964,0.6727430555555556,0.6131329113924051,0.6415562913907285,0.7194247225763101,0.6130197644233704,4,2022,2,200,0.1
XGBoost depth 3 est 100 lr 0.05,0.6339607529034842,0.6337260256043402,0.6377551020408163,0.6058158319870759,0.6213753106876554,0.6919372761673304,0.6313962340354919,1,2019,3,100,0.05
XGBoost depth 3 est 100 lr 0.05,0.6376929325751421,0.6390276720382354,0.6666666666666666,0.6040688575899843,0.6338259441707718,0.7087483610370935,0.6202211976051331,2,2020,3,100,0.05
XGBoost depth 3 est 100 lr 0.05,0.6407160699417153,0.6395579603318388,0.629695885509839,0.6105810928013877,0.6199911933069132,0.6958291698406427,0.6278839707374573,3,2021,3,100,0.05
XGBoost depth 3 est 100 lr 0.05,0.6542239685658153,0.6538935661419579,0.6678321678321678,0.6044303797468354,0.6345514950166113,0.7179511408215495,0.6144890189170837,4,2022,3,100,0.05
XGBoost depth 3 est 200 lr 0.05,0.6291549859831799,0.6290074949860198,0.629783693843594,0.6114701130856219,0.6204918032786885,0.6852298346894283,0.6369727849960327,1,2019,3,200,0.05
XGBoost depth 3 est 200 lr 0.05,0.6368805848903331,0.6384936873493211,0.6684210526315789,0.596244131455399,0.630272952853598,0.7129277164488432,0.6177729368209839,2,2020,3,200,0.05
XGBoost depth 3 est 200 lr 0.05,0.6444629475437136,0.6438274643999675,0.6301131418624891,0.6279271465741544,0.629018245004344,0.6968856958940961,0.6269411444664001,3,2021,3,200,0.05
XGBoost depth 3 est 200 lr 0.05,0.6569744597249508,0.6566468048103242,0.6707423580786026,0.6075949367088608,0.6376089663760897,0.7193021299617586,0.6128506064414978,4,2022,3,200,0.05
XGBoost depth 3 est 100 lr 0.10,0.631958350020024,0.6318885286037461,0.6302040816326531,0.6235864297253635,0.6268777913114089,0.6860969356657911,0.6370989680290222,1,2019,3,100,0.1
XGBoost depth 3 est 100 lr 0.10,0.6409423233143785,0.6422196844732055,0.6695352839931153,0.6087636932707355,0.6377049180327868,0.7126884807342553,0.6188750863075256,2,2020,3,100,0.1
XGBoost depth 3 est 100 lr 0.10,0.6353039134054954,0.6346871078823162,0.6203301476976543,0.619254119687771,0.6197916666666666,0.6947636166174919,0.628488302230835,3,2021,3,100,0.1
XGBoost depth 3 est 100 lr 0.10,0.6593320235756385,0.6590254720896451,0.6721595836947094,0.6131329113924051,0.6412908564335954,0.7214214073261593,0.6115049719810486,4,2022,3,100,0.1
XGBoost depth 3 est 200 lr 0.10,0.63115738886664,0.6310875107946533,0.6293877551020408,0.622778675282714,0.6260657734470159,0.6814476961354821,0.6427820920944214,1,2019,3,200,0.1
XGBoost depth 3 est 200 lr 0.10,0.6433793663688059,0.6446292242947173,0.6718213058419243,0.6118935837245696,0.6404586404586404,0.7072759379097407,0.6239277720451355,2,2020,3,200,0.1
XGBoost depth 3 est 200 lr 0.10,0.6336386344712739,0.6327191848882402,0.6204766107678729,0.6097137901127494,0.6150481189851269,0.692212399581417,0.6312612891197205,3,2021,3,200,0.1
XGBoost depth 3 est 200 lr 0.10,0.6554027504911591,0.6551327705807369,0.6658097686375322,0.6147151898734177,0.6392431098313451,0.7127565489777568,0.6171762943267822,4,2022,3,200,0.1
