Model,Feature,BaselineROCAUC,MeanDecreaseROCAUC,StdDecreaseROCAUC
Random Forest,Surface,0.7038152112862193,4.1692429441371935e-05,0.0001971030231931674
Random Forest,Round,0.7038152112862193,-0.00028968371965694867,0.0003076661203840585
Random Forest,Best of,0.7038152112862193,0.00019921901426500632,0.00021800610613111122
k-NN,Player1Rank,0.7005109879217817,0.005530835091495138,0.00042830071224207804
k-NN,Player2Rank,0.7005109879217817,0.004914593451613862,0.0013327915739028077
k-NN,Player1Points,0.7005109879217817,0.0010766283253644444,0.0002730872214046093
k-NN,Player2Points,0.7005109879217817,0.0035693242837160355,0.0005066858065081375
k-NN,Player1MatchesBefore,0.7005109879217817,0.0021585665356106767,0.0009255602028962526
k-NN,Player2MatchesBefore,0.7005109879217817,-0.000776619829548871,0.0010967255586202156
k-NN,ExperienceDifference,0.7005109879217817,0.0015780191218786044,0.000797899274984976
k-NN,Player1WinRateBefore,0.7005109879217817,-6.1948656954191605e-06,0.000817615136253234
k-NN,Player2WinRateBefore,0.7005109879217817,-0.0015111539048502005,0.0011201303857366503
k-NN,WinRateDifference,0.7005109879217817,0.001980292067267871,0.0020457522113407323
k-NN,Player1Recent5WinRate,0.7005109879217817,0.0013897148709814955,0.0010892850454013222
k-NN,Player2Recent5WinRate,0.7005109879217817,0.0009803620790832894,0.0015863841522395456
k-NN,Recent5WinRateDifference,0.7005109879217817,0.0010724984149008316,9.248895028317944e-05
k-NN,Player1SurfaceMatchesBefore,0.7005109879217817,0.0006099484429844537,0.0003282583299706697
k-NN,Player2SurfaceMatchesBefore,0.7005109879217817,-0.00048310119303292726,0.0006815952761279953
k-NN,SurfaceMatchesDifference,0.7005109879217817,0.0014734930546705567,0.001621592177986567
k-NN,Player1SurfaceWinRateBefore,0.7005109879217817,0.0011161574683725324,0.0011789958709695818
k-NN,Player2SurfaceWinRateBefore,0.7005109879217817,0.0013024950952395347,0.0003426043356195789
k-NN,SurfaceWinRateDifference,0.7005109879217817,0.0006057202013192523,0.00036172842907124275
k-NN,H2HMatchesBefore,0.7005109879217817,-0.0008970755514021711,0.00020817535157880275
k-NN,Player1H2HWinRateBefore,0.7005109879217817,-0.0013619854721551212,0.0003917783840876144
k-NN,Player2H2HWinRateBefore,0.7005109879217817,-0.0013619854721551212,0.0003917783840876144
k-NN,DifferenceH2HWinRateBefore,0.7005109879217817,-0.0013619854721551212,0.0003917783840876144
k-NN,Player1DaysSinceLastMatch,0.7005109879217817,-0.0003234113217759719,0.0012451045417374799
k-NN,Player2DaysSinceLastMatch,0.7005109879217817,0.0030794382377788234,0.0004910988816457887
