Feature,ANN,AdaBoost,LightGBM,Random Forest,XGBoost,k-NN,ANNRank,Random ForestRank,k-NNRank,AdaBoostRank,XGBoostRank,LightGBMRank,AverageRank,AverageImportance,Top10Count
Player2DaysSinceLastMatch,0.004189499171657933,0.0,0.001016154636434045,0.0009758388438138773,0.0002881104204327893,0.0030794382377788234,18.0,9.0,6.0,17.0,17.0,12.0,13.166666666666666,0.0015915068850195777,2
Recent5WinRateDifference,0.00572149929122856,0.0015732992242061632,0.001484211155635351,-8.06315852405574e-05,0.0015318034571677464,0.0010724984149008316,13.0,26.0,18.0,6.0,7.0,9.0,13.166666666666666,0.0018837799929830156,3
Player2SurfaceWinRateBefore,0.0034996074618434867,0.0004423920756065162,0.0006804519144691193,0.00012311066429400905,0.0007956960826423684,0.0013024950952395347,19.0,20.0,14.0,11.0,9.0,13.0,14.333333333333334,0.0011406255490158392,1
Player2WinRateBefore,0.008367886917544939,0.000397159722910545,0.0005715009431928042,0.0009042537291124771,0.0006529191780455523,-0.0015111539048502005,9.0,11.0,32.0,12.0,11.0,15.0,15.0,0.0015637610976593531,1
Player1SurfaceWinRateBefore,0.006100172748254769,0.0,0.0013074116553152642,0.00039745471651494074,-0.0001207507154577699,0.0011161574683725324,11.0,14.0,16.0,17.0,34.0,10.0,17.0,0.0014667409788332892,1
Player2Rank,0.001790807841952587,0.0,0.00034592916692222087,0.0031245722592733913,-0.00013510707087860396,0.004914593451613862,27.0,4.0,3.0,17.0,35.0,20.0,17.666666666666668,0.0016734659414805763,2
Player2MatchesBefore,0.005470066408960195,0.0005388549842906635,0.00011170424491853866,-0.0004572400870349232,0.001369950299477581,-0.000776619829548871,14.0,31.0,27.0,9.0,8.0,22.0,18.5,0.0010427860035105306,2
WinRateDifference,0.003291538639442241,-0.0004892960587280873,0.0010902963623747504,0.00114595182243112,-4.513402149438258e-05,0.001980292067267871,20.0,7.0,10.0,35.0,32.0,11.0,19.166666666666668,0.0011622748018822523,2
Player1Recent5WinRate,0.0013866666037346542,0.0,5.506547284713411e-05,0.00035654893668561155,0.0002258667698751271,0.0013897148709814955,29.0,15.0,13.0,17.0,18.0,24.0,19.333333333333332,0.0005689771090206704,0
MissingPlayer1DaysSinceLastMatch,0.002004776536444671,0.0,0.0,0.00010029782554310529,0.0,0.002869009466541376,26.0,22.0,7.0,17.0,23.0,26.0,20.166666666666668,0.0008290139714215253,1
Player1DaysSinceLastMatch,0.0042400414092355065,0.0,0.00034887910296762154,-0.0001773894875292855,0.00017030964102038304,-0.0003234113217759719,17.0,28.0,25.0,17.0,20.0,19.0,21.0,0.0007097382239863756,0
Series,0.0021519783451093843,0.0,0.00031819976809558764,0.00043521389789595116,0.00022557177627065736,-0.0032879003849864232,23.0,13.0,35.0,17.0,19.0,21.0,21.333333333333332,-2.615609960247381e-05,0
MissingPlayer2DaysSinceLastMatch,0.001332584442902629,0.0,0.0,0.0001341237588635691,0.0,0.0012267800700746696,30.0,19.0,15.0,17.0,23.0,26.0,21.666666666666668,0.0004489147119734779,0
Best of,0.0016376078299955577,0.0,7.178177710431832e-05,0.00019921901426500632,3.992246781429435e-05,-9.410295984794519e-05,28.0,18.0,24.0,17.0,22.0,23.0,22.0,0.0003090713548885386,0
Player1WinRateBefore,0.002179216087928445,0.00022370348344180613,0.0003628421335825083,-0.0008834075143918282,0.00010206778717040492,-6.1948656954191605e-06,22.0,34.0,23.0,16.0,21.0,18.0,22.333333333333332,0.00032970451867265284,0
Court,0.0026433393590693153,0.0,-2.6942749214590538e-05,2.9696022856851023e-05,0.0,0.00021219873286471014,21.0,24.0,22.0,17.0,23.0,30.0,22.833333333333332,0.00047638189426271434,0
Player2Recent5WinRate,0.0005101422734487734,0.0,-9.43979534532661e-06,0.0003421925812647775,0.0,0.0009803620790832894,34.0,16.0,19.0,17.0,23.0,29.0,23.0,0.0003038761897419189,0
Player1H2HWinRateBefore,0.0021426368809657572,0.0002643142696666286,-0.000506405687791478,-0.0005176154447638082,0.0006387594850277475,-0.0013619854721551212,24.0,32.0,29.0,14.0,13.0,33.0,24.166666666666668,0.00010995067182495433,0
Player1Points,0.005821797116771814,-0.00013746701971499112,-0.0007673766966066106,0.00033432608514375833,-5.034557517454482e-05,0.0010766283253644444,12.0,17.0,17.0,34.0,33.0,35.0,24.666666666666668,0.0010462603726306451,0
Surface,0.0006491825923879979,0.0,0.0,4.1692429441371935e-05,0.0,-0.0017497053997203398,33.0,23.0,33.0,17.0,23.0,26.0,25.833333333333332,-0.000176471729648495,0
Player2H2HWinRateBefore,-0.00018053608597771534,-6.588190501362796e-05,0.0005303985009604087,0.00011583415538215143,0.0,-0.0013619854721551212,35.0,21.0,29.0,33.0,23.0,17.0,26.333333333333332,-0.00016036180113398403,0
Round,0.002137523658487036,0.0,2.51727875872169e-05,-0.00028968371965694867,-3.5399232544512196e-06,-0.0017912011667589045,25.0,29.0,34.0,17.0,31.0,25.0,26.833333333333332,1.30452727339914e-05,0
H2HMatchesBefore,0.0009959967401239982,0.0,-4.896893835348859e-05,-9.970783833416579e-05,-1.1799744181750782e-06,-0.0008970755514021711,31.0,27.0,28.0,17.0,30.0,32.0,27.5,-8.48926039733372e-06,0
DifferenceH2HWinRateBefore,0.0009427995601054932,-5.132888718972772e-05,-2.8712710841816147e-05,7.866496120908137e-06,0.0,-0.0013619854721551212,32.0,25.0,29.0,32.0,23.0,31.0,28.666666666666668,-8.189350232671063e-05,0
