Feature,RFImportance,AdaBoostImportance,XGBoostImportance,LightGBMImportance,RFRank,AdaBoostRank,XGBoostRank,LightGBMRank,AverageRank,RankStd,Top10Count,ConsensusScore
Player2SurfaceWinRateBefore,0.03155293237938977,0.01278608816127771,0.017209474056102885,0.0375,13.0,14.0,14.0,9.0,12.5,2.3804761428476167,1,38.5
Player2MatchesBefore,0.024788421908575154,0.021235940073988113,0.011826991038555992,0.03666666666666667,15.0,8.0,20.0,10.0,13.25,5.377421934967226,2,37.75
ExperienceDifference,0.03647668452090598,0.0025578239628186016,0.011256034036694671,0.059166666666666666,10.0,20.0,21.0,3.0,13.5,8.582928793055823,2,37.5
Player1Rank,0.043833806238416,0.0,0.02836573309247229,0.0125,7.0,23.0,7.0,24.0,15.25,9.535023160258536,2,35.75
Player2Rank,0.04161769706592659,0.0,0.015827306051597018,0.02666666666666667,8.0,23.0,15.0,18.0,16.0,6.27162924074226,1,35.0
DaysSinceLastMatchDifference,0.019692856497068544,0.005698077084245403,0.012501444040754709,0.04583333333333333,19.0,19.0,19.0,8.0,16.25,5.5,1,34.75
Series_Grand Slam,0.0038182857923727085,0.011672309453442907,0.029853122097321178,0.02,29.0,15.0,6.0,20.0,17.5,9.60902353693305,1,33.5
Player1MatchesBefore,0.023390130121597554,0.007353258336107505,0.010867842035429166,0.025833333333333333,17.0,17.0,22.0,19.0,18.75,2.362907813126304,0,32.25
Player1SurfaceWinRateBefore,0.030173892141620067,0.0,0.006709501021872974,0.028333333333333332,14.0,23.0,26.0,17.0,20.0,5.477225575051661,0,31.0
Player1H2HWinRateBefore,0.006845900408001416,0.007792943372478605,0.012869682041955164,0.019166666666666665,27.0,16.0,18.0,21.0,20.5,4.795831523312719,0,30.5
Player1Recent5WinRate,0.00956961481204532,0.0,0.014317428046674817,0.01,23.0,23.0,16.0,26.0,22.0,4.242640687119285,0,29.0
Player2DaysSinceLastMatch,0.015257636347936835,0.0,0.01000257003260838,0.019166666666666665,21.0,23.0,24.0,21.0,22.25,1.5,0,28.75
Player2H2HWinRateBefore,0.007398559569170416,0.01318448558320241,0.0,0.0125,26.0,12.0,30.0,24.0,23.0,7.745966692414834,0,28.0
Player1DaysSinceLastMatch,0.014949979469140133,0.0,0.008109755026437801,0.015,22.0,23.0,25.0,23.0,23.25,1.2583057392117916,0,27.75
Player2Recent5WinRate,0.008791330083288819,0.0,0.0,0.009166666666666667,24.0,23.0,30.0,27.0,26.0,3.1622776601683795,0,25.0
DifferenceH2HWinRateBefore,0.007968738643714618,0.007070250663496204,0.0,0.0008333333333333334,25.0,18.0,30.0,31.0,26.0,5.94418483337567,0,25.0
Best of_3.0,0.0031573486943308068,0.0,0.01004645103275143,0.0016666666666666668,30.0,23.0,23.0,29.0,26.25,3.774917217635375,0,24.75
H2HMatchesBefore,0.0049458331571813115,0.0,0.003178408610361612,0.0033333333333333335,28.0,23.0,28.0,28.0,26.75,2.5,0,24.25
Series_Masters 1000,0.0020016627587407044,0.0016062424169368012,0.004231812413795708,0.0008333333333333334,35.0,22.0,27.0,31.0,28.75,5.560275772537426,0,22.25
Series_ATP250,0.0028379003077736065,0.0,0.0,0.0008333333333333334,32.0,23.0,30.0,31.0,29.0,4.08248290463863,0,22.0
Series_ATP500,0.0019742259892721044,0.0,0.0,0.0016666666666666668,36.0,23.0,30.0,29.0,29.5,5.32290647422377,0,21.5
Best of_5.0,0.003100242042877407,0.0,0.0,0.0,31.0,23.0,30.0,37.0,30.25,5.737304826019502,0,20.75
Round_2nd Round,0.0019281474448814043,0.0,0.0002970517409683887,0.0008333333333333334,38.0,23.0,29.0,31.0,30.25,6.18465843842649,0,20.75
Surface_Clay,0.0023379316280360053,0.0,0.0,0.0,33.0,23.0,30.0,37.0,30.75,5.909032633745278,0,20.25
Surface_Hard,0.0022141804731977046,0.0,0.0,0.0,34.0,23.0,30.0,37.0,31.0,6.0553007081949835,0,20.0
Court_Indoor,0.0016535588601215036,0.0,0.0,0.0008333333333333334,42.0,23.0,30.0,31.0,31.5,7.852812659593164,0,19.5
Round_Quarterfinals,0.0019596273919176045,0.0,0.0,0.0,37.0,23.0,30.0,37.0,31.75,6.701989754294367,0,19.25
Court_Outdoor,0.001885048257766804,0.0,0.0,0.0,39.0,23.0,30.0,37.0,32.25,7.274384280931732,0,18.75
Surface_Grass,0.001748260717408904,0.0,0.0,0.0,40.0,23.0,30.0,37.0,32.5,7.593857166596345,0,18.5
Round_The Final,0.000871580410360302,0.0,0.0,0.0008333333333333334,46.0,23.0,30.0,31.0,32.5,9.678154093971983,0,18.5
Round_1st Round,0.0017133186671029039,0.0,0.0,0.0,41.0,23.0,30.0,37.0,32.75,7.932002689527196,0,18.25
Round_3rd Round,0.0013346539151863031,0.0,0.0,0.0,43.0,23.0,30.0,37.0,33.25,8.65544144839919,0,17.75
Round_Semifinals,0.0012603203061775027,0.0,0.0,0.0,44.0,23.0,30.0,37.0,33.5,9.03696114115064,0,17.5
MissingPlayer1DaysSinceLastMatch,0.0009212293838912021,0.0,0.0,0.0,45.0,23.0,30.0,37.0,33.75,9.429563439877091,0,17.25
MissingPlayer2DaysSinceLastMatch,0.0006942231779833015,0.0,0.0,0.0,47.0,23.0,30.0,37.0,34.25,10.242883708539635,0,16.75
Round_4th Round,0.0006454606359189015,0.0,0.0,0.0,48.0,23.0,30.0,37.0,34.5,10.661457061146317,0,16.5
Series_Masters Cup,0.0003593611952298008,0.0,0.0,0.0,49.0,23.0,30.0,37.0,34.75,11.086778913041726,0,16.25
Round_Round Robin,0.00029663325862790065,0.0,0.0,0.0,50.0,23.0,30.0,37.0,35.0,11.51810169544733,0,16.0
