MatchID,Date,SourceYear,ATP,Location,Tournament,Series,Court,Surface,Round,Best of,Player1,Player2,Player1Rank,Player2Rank,Player1Points,Player2Points,Player1B365Odds,Player2B365Odds,Player1PSOdds,Player2PSOdds,Player1MaxOdds,Player2MaxOdds,Player1AvgOdds,Player2AvgOdds,Player1Won
42,2015-01-07,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,2nd Round,3.0,Berankis R.,Goffin D.,83.0,22.0,605.0,1599.0,3.75,1.25,4.17,1.27,4.2,1.29,3.77,1.25,0
43,2015-01-07,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,2nd Round,3.0,Haider-Maurer A.,Vesely J.,79.0,65.0,621.0,741.0,3.0,1.36,3.22,1.4,3.22,1.45,2.91,1.39,1
44,2015-01-07,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,2nd Round,3.0,Ymer E.,Muller G.,227.0,46.0,210.0,855.0,4.33,1.2,4.3,1.26,4.71,1.27,4.0,1.23,0
45,2015-01-07,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,2nd Round,3.0,Coric B.,Wawrinka S.,95.0,4.0,557.0,5120.0,3.0,1.36,3.68,1.33,3.68,1.43,3.06,1.36,0
46,2015-01-07,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3.0,Berdych T.,Kavcic B.,7.0,99.0,4600.0,545.0,1.11,6.5,1.13,7.71,1.14,8.0,1.11,6.32,1
47,2015-01-07,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3.0,Brown D.,Struff J.L.,98.0,58.0,549.0,781.0,2.37,1.53,2.4,1.65,2.4,1.69,2.23,1.63,1
48,2015-01-07,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3.0,Stakhovsky S.,Djokovic N.,57.0,1.0,781.0,11360.0,17.0,1.02,17.5,1.03,20.5,1.03,13.76,1.02,0
49,2015-01-07,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3.0,Dodig I.,Berrer M.,89.0,127.0,575.0,427.0,1.36,3.0,1.42,3.14,1.44,3.14,1.39,2.88,1
50,2015-01-07,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3.0,Ferrer D.,Verdasco F.,10.0,33.0,4045.0,1135.0,1.25,3.75,1.32,3.74,1.32,4.12,1.26,3.68,1
51,2015-01-07,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3.0,Gasquet R.,Bolelli S.,26.0,52.0,1350.0,810.0,1.25,3.75,1.28,4.14,1.33,4.2,1.27,3.66,1
52,2015-01-07,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3.0,Basilashvili N.,Karlovic I.,171.0,27.0,293.0,1320.0,3.5,1.28,3.64,1.33,3.64,1.36,3.3,1.31,0
53,2015-01-07,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,2nd Round,3.0,Souza J.,Seppi A.,117.0,45.0,468.0,870.0,4.0,1.22,3.64,1.33,4.03,1.33,3.7,1.26,0
54,2015-01-08,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3.0,Nieminen J.,Duckworth J.,73.0,125.0,689.0,430.0,1.57,2.25,1.65,2.38,1.65,2.45,1.59,2.3,0
55,2015-01-08,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3.0,Millman J.,Federer R.,153.0,2.0,328.0,9625.0,10.0,1.06,10.25,1.07,11.15,1.08,9.22,1.05,0
56,2015-01-08,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3.0,Groth S.,Kubot L.,85.0,177.0,586.0,282.0,1.66,2.1,1.75,2.2,1.8,2.3,1.69,2.12,1
